policy_number,months_insured,has_claims,items_insured,claim_reference,insured_name,policy_start_date,date_of_loss,date_reported,claim_status,loss_type,paid_amount,total_incurred,claim_propensity,broker_id
POL1600,27,FALSE,1,,"Roy, Rivera and Cooper",2023-08-23,,,,,0,0,0,957fbded-8264-40c0-9c86-4b3b55b2c2a7
POL1601,68,FALSE,7,,Austin Group,2021-01-28,,,,,0,0,0,84591ab3-0b42-489e-b1b1-57dd877d9e2c
POL1602,19,TRUE,1,CLM1602,King Inc,2022-07-16,2022-09-08,2022-09-17,Open,Water Damage,16171.7,38963.58,0.42,b2a5ef1c-1e59-48e8-893e-2cd32a1985dc
POL1603,74,FALSE,10,,"Jones, Duarte and Anderson",2023-02-06,,,,,0,0,0,957fbded-8264-40c0-9c86-4b3b55b2c2a7
POL1604,32,FALSE,6,,Meyer and Sons,2022-08-16,,,,,0,0,0,1d758682-cf2b-4b67-bfa6-f4a42b1e2620
POL1605,66,FALSE,9,,Davis-Huff,2022-02-17,,,,,0,0,0,e2f0c7c9-c59d-4a67-9b6b-503442bc7c52
POL1606,49,FALSE,8,,Cowan Ltd,2023-07-04,,,,,0,0,0,4c9016d3-b681-4ad4-998f-6d09bbfbb21f
POL1607,13,FALSE,6,,"Hayden, Ross and Lynch",2023-04-18,,,,,0,0,0,4c9016d3-b681-4ad4-998f-6d09bbfbb21f
POL1608,100,TRUE,1,CLM1608,"Gonzales, Moore and Le",2023-04-30,2023-12-16,2024-01-12,Pending,Water Damage,7917.53,24412.43,0.24,1d758682-cf2b-4b67-bfa6-f4a42b1e2620
POL1609,57,TRUE,4,CLM1609,Dickson-Kelley,2022-01-18,2022-05-09,2022-05-20,Closed,Fire,39098.87,63541.17,0.12,1d758682-cf2b-4b67-bfa6-f4a42b1e2620
POL1610,15,FALSE,4,,Robinson LLC,2023-06-14,,,,,0,0,0,69fc20d0-9aa6-4ad0-a0a0-1a9f7a9a20de
POL1611,110,TRUE,10,CLM1611,Hill Ltd,2022-01-31,2023-01-21,2023-02-16,Open,Fire,48952.82,70128.37,0.39,b2a5ef1c-1e59-48e8-893e-2cd32a1985dc
POL1612,30,TRUE,1,CLM1612,Miller LLC,2022-11-22,2023-08-15,2023-08-21,Pending,Fire,15805.79,31137.11,0.83,b2a5ef1c-1e59-48e8-893e-2cd32a1985dc
POL1613,27,FALSE,6,,Brennan-Casey,2022-06-09,,,,,0,0,0,4c9016d3-b681-4ad4-998f-6d09bbfbb21f
POL1614,98,FALSE,3,,Johnson-Carr,2021-07-18,,,,,0,0,0,2a7b4e70-0d33-4f8e-9f77-41c7b6dced98
POL1615,74,TRUE,2,CLM1615,Pratt-Jackson,2023-09-03,2024-01-29,2024-02-19,Open,Property Damage,28931.5,37816.9,0.37,84591ab3-0b42-489e-b1b1-57dd877d9e2c
POL1616,77,TRUE,9,CLM1616,Werner-Hunt,2020-07-24,2021-04-02,2021-04-21,Closed,Water Damage,27077.63,28791.47,0.98,4c9016d3-b681-4ad4-998f-6d09bbfbb21f
POL1617,19,TRUE,6,CLM1617,Grimes-Davis,2022-05-20,2022-08-07,2022-08-18,Pending,Property Damage,20756.22,44043.2,0.7,2a7b4e70-0d33-4f8e-9f77-41c7b6dced98
POL1618,26,FALSE,9,,"Patel, Ortiz and Miller",2021-09-08,,,,,0,0,0,1d758682-cf2b-4b67-bfa6-f4a42b1e2620
POL1619,47,TRUE,8,CLM1619,Barajas-Thompson,2021-10-25,2022-09-02,2022-09-30,Pending,Theft,18295.4,30081.5,0.58,3e857a0f-1dbe-4025-a287-29f3e7fd926d
POL1620,115,TRUE,1,CLM1620,Fuller Ltd,2022-07-29,2022-10-23,2022-11-04,Open,Fire,31184.03,41456.86,0.28,2a7b4e70-0d33-4f8e-9f77-41c7b6dced98
POL1621,110,FALSE,1,,"Mitchell, Johnson and Smith",2021-01-25,,,,,0,0,0,957fbded-8264-40c0-9c86-4b3b55b2c2a7
POL1622,91,TRUE,3,CLM1622,Jones-Daugherty,2020-02-14,2020-12-20,2021-01-01,Pending,Property Damage,13546.36,16047.51,0.71,1d758682-cf2b-4b67-bfa6-f4a42b1e2620
POL1623,120,TRUE,1,CLM1623,Stewart-Kelley,2020-05-19,2021-04-02,2021-04-20,Pending,Water Damage,25588.76,28744.49,0.98,e2f0c7c9-c59d-4a67-9b6b-503442bc7c52
POL1624,75,TRUE,10,CLM1624,Williams-Erickson,2020-04-17,2021-01-05,2021-01-29,Open,Property Damage,8411.36,29393.28,1,69fc20d0-9aa6-4ad0-a0a0-1a9f7a9a20de
POL1625,17,FALSE,1,,"Black, Green and Brown",2021-01-04,,,,,0,0,0,69fc20d0-9aa6-4ad0-a0a0-1a9f7a9a20de
POL1626,11,FALSE,10,,Barnes-Aguilar,2020-11-11,,,,,0,0,0,84591ab3-0b42-489e-b1b1-57dd877d9e2c
POL1627,5,FALSE,9,,Tapia-Lozano,2023-02-14,,,,,0,0,0,957fbded-8264-40c0-9c86-4b3b55b2c2a7
POL1628,4,FALSE,4,,"Burns, Cole and Martinez",2023-07-07,,,,,0,0,0,b2a5ef1c-1e59-48e8-893e-2cd32a1985dc
POL1629,32,TRUE,2,CLM1629,Jackson-Williams,2022-10-08,2023-04-25,2023-05-10,Closed,Fire,34510.12,56739,0.95,84591ab3-0b42-489e-b1b1-57dd877d9e2c
