policy_number,months_insured,has_claims,items_insured,claim_reference,insured_name,date_of_loss,date_reported,claim_status,loss_type,paid_amount,reserve_amount,total_incurred,claim_propensity,broker_id
POL1800,116,TRUE,7,CLM1800,Thompson Inc,2021-01-23,2021-02-14,Open,Property Damage,3378.4,3537.08,6915.48,0.8,2a7b4e70-0d33-4f8e-9f77-41c7b6dced98
POL1801,78,FALSE,7,,"Kerr, Davis and Phelps",,,,,0,0,0,0,b2a5ef1c-1e59-48e8-893e-2cd32a1985dc
POL1802,15,TRUE,6,CLM1802,"Berg, Herman and Thomas",2022-06-03,2022-06-23,Pending,Water Damage,25362.8,24327.72,49690.52,0.5,f16d5b5a-7f08-4725-b5c0-2d30d7fdd962
POL1803,51,TRUE,3,CLM1803,Kemp-Herrera,2021-12-05,2021-12-22,Pending,Liability,31834.43,8722.18,40556.61,0.39,4c9016d3-b681-4ad4-998f-6d09bbfbb21f
POL1804,46,TRUE,1,CLM1804,Stevenson LLC,2021-09-16,2021-10-09,Open,Water Damage,23552.41,12486.3,36038.71,0.85,e2f0c7c9-c59d-4a67-9b6b-503442bc7c52
POL1805,79,FALSE,10,,Mccann-Bennett,,,,,0,0,0,0,f16d5b5a-7f08-4725-b5c0-2d30d7fdd962
POL1806,18,FALSE,9,,Cooper Group,,,,,0,0,0,0,1d758682-cf2b-4b67-bfa6-f4a42b1e2620
POL1807,69,FALSE,5,,"Bowen, Dunn and Barton",,,,,0,0,0,0,69fc20d0-9aa6-4ad0-a0a0-1a9f7a9a20de
POL1808,13,TRUE,10,CLM1808,"Weaver, Hernandez and Johnson",2022-03-02,2022-03-22,Open,Property Damage,30984.01,1730.34,32714.35,0.82,2a7b4e70-0d33-4f8e-9f77-41c7b6dced98
POL1809,16,TRUE,2,CLM1809,"Wallace, Juarez and Hinton",2022-11-06,2022-11-08,Closed,Liability,43661.61,21467.24,65128.85,0.68,69fc20d0-9aa6-4ad0-a0a0-1a9f7a9a20de
POL1810,38,TRUE,6,CLM1810,Harrison Group,2023-10-16,2023-10-17,Closed,Liability,43197.61,10273.37,53470.98,0.21,957fbded-8264-40c0-9c86-4b3b55b2c2a7
POL1811,25,TRUE,4,CLM1811,Davis Group,2024-05-14,2024-05-27,Closed,Theft,26870.66,9735.42,36606.08,0.69,e2f0c7c9-c59d-4a67-9b6b-503442bc7c52
POL1812,3,TRUE,9,CLM1812,Hunter Group,2021-11-17,2021-12-12,Pending,Property Damage,12206.79,19611.38,31818.17,0.12,84591ab3-0b42-489e-b1b1-57dd877d9e2c
