policy_number,months_insured,has_claims,items_insured,claim_reference,policy_start_date,date_of_loss,date_reported,claim_status,loss_type,paid_amount,reserve_amount,total_incurred,broker_id
POL1000,11,TRUE,7,CLM1000,2022-07-10,2023-02-20,2023-02-21,Closed,Theft,48700.36,13138.28,61838.64,2a7b4e70-0d33-4f8e-9f77-41c7b6dced98
POL1001,23,FALSE,8,,2021-04-06,,,,,0,0,0,957fbded-8264-40c0-9c86-4b3b55b2c2a7
POL1002,9,FALSE,8,,2022-09-26,,,,,0,0,0,69fc20d0-9aa6-4ad0-a0a0-1a9f7a9a20de
POL1003,83,FALSE,9,,2020-07-03,,,,,0,0,0,69fc20d0-9aa6-4ad0-a0a0-1a9f7a9a20de
POL1004,33,TRUE,4,CLM1004,2022-06-30,2023-05-01,2023-05-08,Pending,Theft,20872.62,19613.79,40486.41,84591ab3-0b42-489e-b1b1-57dd877d9e2c
POL1005,32,FALSE,3,,2021-09-03,,,,,0,0,0,957fbded-8264-40c0-9c86-4b3b55b2c2a7
POL1006,93,TRUE,1,CLM1006,2022-11-24,2023-07-31,2023-08-26,Pending,Property Damage,8249.24,10948.27,19197.51,4c9016d3-b681-4ad4-998f-6d09bbfbb21f
POL1007,40,TRUE,7,CLM1007,2022-03-13,2023-03-08,2023-03-18,Open,Liability,26383.89,3814.58,30198.47,69fc20d0-9aa6-4ad0-a0a0-1a9f7a9a20de
POL1008,1,TRUE,1,CLM1008,2022-04-10,2022-10-08,2022-10-28,Open,Fire,28449.54,13925.55,42375.09,84591ab3-0b42-489e-b1b1-57dd877d9e2c
POL1009,89,TRUE,4,CLM1009,2023-11-05,2024-02-02,2024-02-10,Closed,Fire,44703.83,24319.54,69023.37,2a7b4e70-0d33-4f8e-9f77-41c7b6dced98
POL1010,44,TRUE,7,CLM1010,2020-01-05,2020-02-09,2020-03-08,Closed,Theft,12126.3,17646.03,29772.33,84591ab3-0b42-489e-b1b1-57dd877d9e2c
POL1011,117,FALSE,10,,2023-09-06,,,,,0,0,0,4c9016d3-b681-4ad4-998f-6d09bbfbb21f
POL1012,67,TRUE,6,CLM1012,2021-05-29,2021-12-18,2022-01-02,Open,Liability,24902.63,13057.22,37959.85,1d758682-cf2b-4b67-bfa6-f4a42b1e2620
POL1013,91,FALSE,8,,2021-07-11,,,,,0,0,0,1d758682-cf2b-4b67-bfa6-f4a42b1e2620
POL1014,115,FALSE,2,,2021-03-09,,,,,0,0,0,3e857a0f-1dbe-4025-a287-29f3e7fd926d
POL1015,18,TRUE,9,CLM1015,2023-06-27,2024-02-01,2024-02-02,Closed,Property Damage,5603.57,24825.02,30428.59,4c9016d3-b681-4ad4-998f-6d09bbfbb21f
POL1016,94,FALSE,2,,2023-05-23,,,,,0,0,0,e2f0c7c9-c59d-4a67-9b6b-503442bc7c52
POL1017,105,FALSE,4,,2022-04-22,,,,,0,0,0,2a7b4e70-0d33-4f8e-9f77-41c7b6dced98
POL1018,110,TRUE,5,CLM1018,2020-02-22,2020-11-24,2020-11-25,Pending,Theft,2396.68,14260.22,16656.9,3e857a0f-1dbe-4025-a287-29f3e7fd926d
POL1019,82,TRUE,9,CLM1019,2020-05-06,2020-09-12,2020-10-08,Pending,Liability,13901.43,6961.88,20863.31,84591ab3-0b42-489e-b1b1-57dd877d9e2c
POL1020,8,FALSE,3,,2022-08-23,,,,,0,0,0,e2f0c7c9-c59d-4a67-9b6b-503442bc7c52
POL1021,93,TRUE,10,CLM1021,2021-04-08,2021-11-16,2021-11-26,Open,Liability,11837.03,15213.83,27050.86,957fbded-8264-40c0-9c86-4b3b55b2c2a7
POL1022,26,FALSE,6,,2022-09-25,,,,,0,0,0,e2f0c7c9-c59d-4a67-9b6b-503442bc7c52
POL1023,114,TRUE,8,CLM1023,2023-08-31,2023-12-04,2023-12-21,Pending,Liability,34750.85,15605.59,50356.44,957fbded-8264-40c0-9c86-4b3b55b2c2a7
POL1024,70,FALSE,10,,2020-01-31,,,,,0,0,0,957fbded-8264-40c0-9c86-4b3b55b2c2a7
POL1025,98,FALSE,9,,2023-05-12,,,,,0,0,0,84591ab3-0b42-489e-b1b1-57dd877d9e2c
POL1026,2,TRUE,2,CLM1026,2021-06-05,2021-11-27,2021-12-12,Closed,Property Damage,3924.54,13705.55,17630.09,84591ab3-0b42-489e-b1b1-57dd877d9e2c
POL1027,52,TRUE,2,CLM1027,2023-01-17,2023-08-08,2023-08-17,Closed,Theft,1091.05,20149.41,21240.46,e2f0c7c9-c59d-4a67-9b6b-503442bc7c52
POL1028,119,TRUE,1,CLM1028,2021-04-29,2022-01-18,2022-01-30,Pending,Fire,20386.88,16994.9,37381.78,957fbded-8264-40c0-9c86-4b3b55b2c2a7
POL1029,56,TRUE,10,CLM1029,2021-01-07,2021-07-29,2021-08-01,Pending,Liability,39888.32,11861.17,51749.49,2a7b4e70-0d33-4f8e-9f77-41c7b6dced98
